Sn,Id,Ls,St,Rs,Lw,Lf,Cf,Rf,Rw,Lam,Cam,Ram,Lm,Lcm,Cm,Rcm,Rm,Lwb,Ldm,Cdm,Rdm,Rwb,Lb,Lcb,Cb,Rcb,Rb,Original_Position
125,239207,78+2,78+2,78+2,72+2,75+2,75+2,75+2,72+2,72+2,72+2,72+2,71+2,66+2,66+2,66+2,71+2,52+2,52+2,52+2,52+2,52+2,49+2,48+2,48+2,48+2,49+2,ST
126,45186,76+2,76+2,76+2,80+2,80+2,80+2,80+2,80+2,81+2,81+2,81+2,80+2,77+2,77+2,77+2,80+2,62+2,62+2,62+2,62+2,62+2,58+2,52+2,52+2,52+2,58+2,"LM,ST,RM"
127,112316,67+3,67+3,67+3,65+3,65+3,65+3,65+3,65+3,64+3,64+3,64+3,67+3,69+3,69+3,69+3,67+3,76+3,76+3,76+3,76+3,76+3,77+3,80+3,80+3,80+3,77+3,CB
128,197061,61+2,61+2,61+2,61+2,62+2,62+2,62+2,61+2,65+2,65+2,65+2,64+2,70+2,70+2,70+2,64+2,73+2,77+2,77+2,77+2,73+2,74+2,79+2,79+2,79+2,74+2,CB
129,197853,70+2,70+2,70+2,74+2,72+2,72+2,72+2,74+2,73+2,73+2,73+2,75+2,75+2,75+2,75+2,75+2,79+2,78+2,78+2,78+2,79+2,79+2,79+2,79+2,79+2,79+2,"RB,RWB"
130,198118,68+2,68+2,68+2,65+2,67+2,67+2,67+2,65+2,68+2,68+2,68+2,67+2,72+2,72+2,72+2,67+2,74+2,78+2,78+2,78+2,74+2,76+2,81+2,81+2,81+2,76+2,"CDM,CM"
131,198784,73+2,73+2,73+2,80+2,79+2,79+2,79+2,80+2,80+2,80+2,80+2,80+2,78+2,78+2,78+2,80+2,76+2,75+2,75+2,75+2,76+2,73+2,68+2,68+2,68+2,73+2,"CM,RM"
132,199005,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
133,199069,79+3,79+3,79+3,76+3,79+3,79+3,79+3,76+3,78+3,78+3,78+3,76+3,72+3,72+3,72+3,76+3,57+3,58+3,58+3,58+3,57+3,53+3,52+3,52+3,52+3,53+3,ST
134,199110,78+2,78+2,78+2,79+2,79+2,79+2,79+2,79+2,78+2,78+2,78+2,77+2,68+2,68+2,68+2,77+2,55+2,51+2,51+2,51+2,55+2,51+2,44+2,44+2,44+2,51+2,ST
135,199206,57+3,57+3,57+3,58+3,56+3,56+3,56+3,58+3,56+3,56+3,56+3,61+3,61+3,61+3,61+3,61+3,74+3,73+3,73+3,73+3,74+3,76+3,79+3,79+3,79+3,76+3,"CB,RB"
136,199416,75+2,75+2,75+2,79+2,78+2,78+2,78+2,79+2,79+2,79+2,79+2,78+2,75+2,75+2,75+2,78+2,69+2,68+2,68+2,68+2,69+2,66+2,61+2,61+2,61+2,66+2,"RM,RW,LM"
137,200315,73+2,73+2,73+2,79+2,77+2,77+2,77+2,79+2,77+2,77+2,77+2,78+2,70+2,70+2,70+2,78+2,61+2,57+2,57+2,57+2,61+2,57+2,48+2,48+2,48+2,57+2,"LM,RM"
138,201119,73+2,73+2,73+2,78+2,77+2,77+2,77+2,78+2,77+2,77+2,77+2,79+2,77+2,77+2,77+2,79+2,79+2,76+2,76+2,76+2,79+2,78+2,73+2,73+2,73+2,78+2,LB
139,201143,64+2,64+2,64+2,67+2,66+2,66+2,66+2,67+2,68+2,68+2,68+2,70+2,72+2,72+2,72+2,70+2,77+2,77+2,77+2,77+2,77+2,78+2,79+2,79+2,79+2,78+2,CB
140,201325,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
141,201377,58+2,58+2,58+2,58+2,57+2,57+2,57+2,58+2,58+2,58+2,58+2,61+2,61+2,61+2,61+2,61+2,72+2,73+2,73+2,73+2,72+2,74+2,78+2,78+2,78+2,74+2,CB
142,202335,67+2,67+2,67+2,65+2,66+2,66+2,66+2,65+2,67+2,67+2,67+2,67+2,72+2,72+2,72+2,67+2,75+2,79+2,79+2,79+2,75+2,76+2,81+2,81+2,81+2,76+2,"CDM,CB,CM"
143,203042,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
144,49031,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
145,54050,78+3,78+3,78+3,76+3,78+3,78+3,78+3,76+3,78+3,78+3,78+3,76+3,77+3,77+3,77+3,76+3,66+3,69+3,69+3,69+3,66+3,64+3,64+3,64+3,64+3,64+3,ST
146,110677,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
147,142707,79+2,79+2,79+2,77+2,78+2,78+2,78+2,77+2,77+2,77+2,77+2,76+2,73+2,73+2,73+2,76+2,63+2,63+2,63+2,63+2,63+2,61+2,59+2,59+2,59+2,61+2,ST
148,142754,62+3,62+3,62+3,64+3,64+3,64+3,64+3,64+3,67+3,67+3,67+3,67+3,72+3,72+3,72+3,67+3,75+3,79+3,79+3,79+3,75+3,76+3,78+3,78+3,78+3,76+3,"CDM,CB"
149,144622,76+2,76+2,76+2,79+2,79+2,79+2,79+2,79+2,81+2,81+2,81+2,78+2,76+2,76+2,76+2,78+2,62+2,62+2,62+2,62+2,62+2,58+2,54+2,54+2,54+2,58+2,"CF,ST"
150,146748,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
151,146760,68+3,68+3,68+3,73+3,71+3,71+3,71+3,73+3,72+3,72+3,72+3,74+3,73+3,73+3,73+3,74+3,78+3,76+3,76+3,76+3,78+3,78+3,75+3,75+3,75+3,78+3,RB
152,147782,68+2,68+2,68+2,70+2,71+2,71+2,71+2,70+2,73+2,73+2,73+2,72+2,76+2,76+2,76+2,72+2,76+2,78+2,78+2,78+2,76+2,75+2,76+2,76+2,76+2,75+2,CDM
153,148119,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
154,153244,78+3,78+3,78+3,74+3,75+3,75+3,75+3,74+3,73+3,73+3,73+3,73+3,70+3,70+3,70+3,73+3,58+3,60+3,60+3,60+3,58+3,56+3,56+3,56+3,56+3,56+3,ST
155,156713,62+2,62+2,62+2,56+2,58+2,58+2,58+2,56+2,58+2,58+2,58+2,57+2,64+2,64+2,64+2,57+2,68+2,74+2,74+2,74+2,68+2,70+2,79+2,79+2,79+2,70+2,CB
156,157960,75+2,75+2,75+2,79+2,78+2,78+2,78+2,79+2,79+2,79+2,79+2,78+2,77+2,77+2,77+2,78+2,73+2,72+2,72+2,72+2,73+2,72+2,68+2,68+2,68+2,72+2,"LM,CAM"
157,158625,59+3,59+3,59+3,57+3,58+3,58+3,58+3,57+3,61+3,61+3,61+3,59+3,68+3,68+3,68+3,59+3,69+3,75+3,75+3,75+3,69+3,70+3,77+3,77+3,77+3,70+3,CB
158,159147,65+2,65+2,65+2,64+2,65+2,65+2,65+2,64+2,66+2,66+2,66+2,66+2,71+2,71+2,71+2,66+2,73+2,77+2,77+2,77+2,73+2,75+2,79+2,79+2,79+2,75+2,CB
159,161956,71+3,71+3,71+3,75+3,75+3,75+3,75+3,75+3,79+3,79+3,79+3,76+3,80+3,80+3,80+3,76+3,72+3,74+3,74+3,74+3,72+3,69+3,66+3,66+3,66+3,69+3,"CAM,CDM"
160,208330,72+2,72+2,72+2,79+2,77+2,77+2,77+2,79+2,79+2,79+2,79+2,79+2,72+2,72+2,72+2,79+2,59+2,55+2,55+2,55+2,59+2,53+2,42+2,42+2,42+2,53+2,"RW,RM"
161,208334,68+3,68+3,68+3,72+3,70+3,70+3,70+3,72+3,72+3,72+3,72+3,74+3,74+3,74+3,74+3,74+3,78+3,77+3,77+3,77+3,78+3,78+3,76+3,76+3,76+3,78+3,"LB,CDM"
162,208498,77+2,77+2,77+2,73+2,76+2,76+2,76+2,73+2,74+2,74+2,74+2,72+2,68+2,68+2,68+2,72+2,54+2,52+2,52+2,52+2,54+2,51+2,47+2,47+2,47+2,51+2,ST
163,208777,69+3,69+3,69+3,76+3,76+3,76+3,76+3,76+3,78+3,78+3,78+3,77+3,78+3,78+3,78+3,77+3,72+3,71+3,71+3,71+3,72+3,70+3,62+3,62+3,62+3,70+3,CM
164,209981,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
165,210324,70+2,70+2,70+2,77+2,75+2,75+2,75+2,77+2,77+2,77+2,77+2,78+2,74+2,74+2,74+2,78+2,67+2,63+2,63+2,63+2,67+2,63+2,53+2,53+2,53+2,63+2,"CAM,RM,LM"
166,210411,71+2,71+2,71+2,77+2,76+2,76+2,76+2,77+2,78+2,78+2,78+2,77+2,73+2,73+2,73+2,77+2,63+2,62+2,62+2,62+2,63+2,59+2,53+2,53+2,53+2,59+2,"RM,CAM,CM"
167,210455,64+2,64+2,64+2,69+2,67+2,67+2,67+2,69+2,68+2,68+2,68+2,71+2,70+2,70+2,70+2,71+2,78+2,75+2,75+2,75+2,78+2,78+2,76+2,76+2,76+2,78+2,LWB
168,212501,73+2,73+2,73+2,71+2,72+2,72+2,72+2,71+2,72+2,72+2,72+2,72+2,76+2,76+2,76+2,72+2,76+2,77+2,77+2,77+2,76+2,76+2,77+2,77+2,77+2,76+2,"CDM,CB,CM"
169,213160,70+2,70+2,70+2,74+2,74+2,74+2,74+2,74+2,75+2,75+2,75+2,76+2,77+2,77+2,77+2,76+2,78+2,78+2,78+2,78+2,78+2,77+2,75+2,75+2,75+2,77+2,"CDM,CM,LM"
170,213516,73+2,73+2,73+2,78+2,77+2,77+2,77+2,78+2,77+2,77+2,77+2,77+2,74+2,74+2,74+2,77+2,64+2,61+2,61+2,61+2,64+2,60+2,51+2,51+2,51+2,60+2,LM
171,213874,72+2,72+2,72+2,75+2,76+2,76+2,76+2,75+2,77+2,77+2,77+2,76+2,79+2,79+2,79+2,76+2,77+2,78+2,78+2,78+2,77+2,76+2,73+2,73+2,73+2,76+2,"CDM,CM,RM"
172,213991,68+2,68+2,68+2,69+2,69+2,69+2,69+2,69+2,70+2,70+2,70+2,71+2,74+2,74+2,74+2,71+2,77+2,78+2,78+2,78+2,77+2,77+2,77+2,77+2,77+2,77+2,"CDM,CM"
173,214947,68+2,68+2,68+2,70+2,70+2,70+2,70+2,70+2,71+2,71+2,71+2,72+2,74+2,74+2,74+2,72+2,76+2,78+2,78+2,78+2,76+2,76+2,78+2,78+2,78+2,76+2,"CDM,CM,CB"
174,215057,64+2,64+2,64+2,63+2,65+2,65+2,65+2,63+2,67+2,67+2,67+2,66+2,74+2,74+2,74+2,66+2,71+2,78+2,78+2,78+2,71+2,70+2,75+2,75+2,75+2,70+2,CDM
175,215061,78+2,78+2,78+2,74+2,76+2,76+2,76+2,74+2,73+2,73+2,73+2,72+2,67+2,67+2,67+2,72+2,55+2,54+2,54+2,54+2,55+2,52+2,50+2,50+2,50+2,52+2,ST
176,190243,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
177,190456,69+2,69+2,69+2,73+2,71+2,71+2,71+2,73+2,71+2,71+2,71+2,73+2,72+2,72+2,72+2,73+2,77+2,75+2,75+2,75+2,77+2,77+2,76+2,76+2,76+2,77+2,RB
178,190544,72+2,72+2,72+2,78+2,77+2,77+2,77+2,78+2,78+2,78+2,78+2,77+2,72+2,72+2,72+2,77+2,60+2,57+2,57+2,57+2,60+2,56+2,47+2,47+2,47+2,56+2,"CAM,LW"
179,191076,74+2,74+2,74+2,77+2,76+2,76+2,76+2,77+2,76+2,76+2,76+2,77+2,75+2,75+2,75+2,77+2,71+2,70+2,70+2,70+2,71+2,69+2,65+2,65+2,65+2,69+2,"RM,LM"
180,192598,77+2,77+2,77+2,75+2,77+2,77+2,77+2,75+2,76+2,76+2,76+2,75+2,72+2,72+2,72+2,75+2,63+2,63+2,63+2,63+2,63+2,62+2,59+2,59+2,59+2,62+2,"ST,CAM"
181,192678,77+2,77+2,77+2,72+2,75+2,75+2,75+2,72+2,72+2,72+2,72+2,70+2,66+2,66+2,66+2,70+2,55+2,55+2,55+2,55+2,55+2,52+2,52+2,52+2,52+2,52+2,ST
182,192679,69+2,69+2,69+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,72+2,73+2,73+2,73+2,72+2,78+2,77+2,77+2,77+2,78+2,78+2,76+2,76+2,76+2,78+2,"LB,LM"
183,193152,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
184,193469,56+2,56+2,56+2,55+2,56+2,56+2,56+2,55+2,58+2,58+2,58+2,59+2,64+2,64+2,64+2,59+2,70+2,74+2,74+2,74+2,70+2,72+2,78+2,78+2,78+2,72+2,CB
185,193532,61+3,61+3,61+3,63+3,64+3,64+3,64+3,63+3,67+3,67+3,67+3,66+3,72+3,72+3,72+3,66+3,73+3,78+3,78+3,78+3,73+3,74+3,78+3,78+3,78+3,74+3,"CDM,CB"
186,193738,74+2,74+2,74+2,78+2,77+2,77+2,77+2,78+2,78+2,78+2,78+2,78+2,76+2,76+2,76+2,78+2,71+2,69+2,69+2,69+2,71+2,68+2,63+2,63+2,63+2,68+2,"CAM,LW"
187,194229,59+2,59+2,59+2,65+2,63+2,63+2,63+2,65+2,64+2,64+2,64+2,69+2,70+2,70+2,70+2,69+2,78+2,76+2,76+2,76+2,78+2,78+2,75+2,75+2,75+2,78+2,RB
188,194761,73+2,73+2,73+2,77+2,77+2,77+2,77+2,77+2,78+2,78+2,78+2,77+2,77+2,77+2,77+2,77+2,69+2,69+2,69+2,69+2,69+2,68+2,63+2,63+2,63+2,68+2,"LM,CM"
189,194845,76+2,76+2,76+2,79+2,79+2,79+2,79+2,79+2,78+2,78+2,78+2,77+2,74+2,74+2,74+2,77+2,64+2,63+2,63+2,63+2,64+2,60+2,54+2,54+2,54+2,60+2,"ST,CF,CAM,LM"
190,194957,60+2,60+2,60+2,58+2,58+2,58+2,58+2,58+2,59+2,59+2,59+2,60+2,64+2,64+2,64+2,60+2,70+2,73+2,73+2,73+2,70+2,72+2,78+2,78+2,78+2,72+2,CB
191,195586,77+2,77+2,77+2,72+2,76+2,76+2,76+2,72+2,75+2,75+2,75+2,70+2,69+2,69+2,69+2,70+2,51+2,54+2,54+2,54+2,51+2,49+2,48+2,48+2,48+2,49+2,ST
192,238794,73+2,73+2,73+2,78+2,76+2,76+2,76+2,78+2,76+2,76+2,76+2,77+2,68+2,68+2,68+2,77+2,57+2,52+2,52+2,52+2,57+2,53+2,43+2,43+2,43+2,53+2,"LW,RW"
193,241184,72+2,72+2,72+2,73+2,72+2,72+2,72+2,73+2,71+2,71+2,71+2,74+2,72+2,72+2,72+2,74+2,76+2,73+2,73+2,73+2,76+2,76+2,73+2,73+2,73+2,76+2,"LWB,LB,CB,LM"
194,80,66+2,66+2,66+2,72+2,72+2,72+2,72+2,72+2,75+2,75+2,75+2,72+2,77+2,77+2,77+2,72+2,68+2,73+2,73+2,73+2,68+2,65+2,65+2,65+2,65+2,65+2,"CM,CDM"
195,49369,77+3,77+3,77+3,75+3,77+3,77+3,77+3,75+3,75+3,75+3,75+3,73+3,66+3,66+3,66+3,73+3,53+3,51+3,51+3,51+3,53+3,50+3,47+3,47+3,47+3,50+3,ST
196,121944,71+3,71+3,71+3,70+3,72+3,72+3,72+3,70+3,74+3,74+3,74+3,70+3,77+3,77+3,77+3,70+3,71+3,76+3,76+3,76+3,71+3,70+3,73+3,73+3,73+3,70+3,"CDM,CB,CM"
197,124375,77+2,77+2,77+2,73+2,75+2,75+2,75+2,73+2,71+2,71+2,71+2,72+2,65+2,65+2,65+2,72+2,55+2,53+2,53+2,53+2,55+2,53+2,50+2,50+2,50+2,53+2,ST
198,150418,77+3,77+3,77+3,70+3,73+3,73+3,73+3,70+3,70+3,70+3,70+3,68+3,63+3,63+3,63+3,68+3,51+3,51+3,51+3,51+3,51+3,49+3,51+3,51+3,51+3,49+3,ST
199,152908,70+2,70+2,70+2,74+2,73+2,73+2,73+2,74+2,74+2,74+2,74+2,75+2,74+2,74+2,74+2,75+2,77+2,76+2,76+2,76+2,77+2,76+2,73+2,73+2,73+2,76+2,"RB,LB"
200,157301,77+3,77+3,77+3,77+3,77+3,77+3,77+3,77+3,76+3,76+3,76+3,76+3,70+3,70+3,70+3,76+3,58+3,55+3,55+3,55+3,58+3,54+3,50+3,50+3,50+3,54+3,LW
201,158121,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
202,158232,78+3,78+3,78+3,78+3,80+3,80+3,80+3,78+3,79+3,79+3,79+3,77+3,73+3,73+3,73+3,77+3,59+3,58+3,58+3,58+3,59+3,56+3,52+3,52+3,52+3,56+3,"LM,ST,RM"
203,159065,78+3,78+3,78+3,81+3,81+3,81+3,81+3,81+3,81+3,81+3,81+3,80+3,73+3,73+3,73+3,80+3,62+3,60+3,60+3,60+3,62+3,59+3,53+3,53+3,53+3,59+3,"ST,CAM"
204,161648,71+3,71+3,71+3,76+3,76+3,76+3,76+3,76+3,77+3,77+3,77+3,75+3,71+3,71+3,71+3,75+3,55+3,55+3,55+3,55+3,55+3,50+3,45+3,45+3,45+3,50+3,"CAM,ST"
205,163155,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
206,163264,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
207,164029,78+2,78+2,78+2,73+2,75+2,75+2,75+2,73+2,72+2,72+2,72+2,69+2,65+2,65+2,65+2,69+2,52+2,51+2,51+2,51+2,52+2,49+2,50+2,50+2,50+2,49+2,ST
208,164468,60+3,60+3,60+3,53+3,57+3,57+3,57+3,53+3,57+3,57+3,57+3,53+3,62+3,62+3,62+3,53+3,63+3,71+3,71+3,71+3,63+3,66+3,77+3,77+3,77+3,66+3,CB
209,213655,70+2,70+2,70+2,76+2,76+2,76+2,76+2,76+2,77+2,77+2,77+2,77+2,71+2,71+2,71+2,77+2,57+2,54+2,54+2,54+2,57+2,52+2,43+2,43+2,43+2,52+2,"LM,RM,LW"
210,213666,70+2,70+2,70+2,74+2,74+2,74+2,74+2,74+2,77+2,77+2,77+2,75+2,76+2,76+2,76+2,75+2,68+2,71+2,71+2,71+2,68+2,66+2,66+2,66+2,66+2,66+2,"CM,LM"
211,213732,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
212,214026,70+2,70+2,70+2,75+2,73+2,73+2,73+2,75+2,73+2,73+2,73+2,75+2,72+2,72+2,72+2,75+2,76+2,73+2,73+2,73+2,76+2,75+2,72+2,72+2,72+2,75+2,"LWB,LM,LB"
213,214394,58+2,58+2,58+2,63+2,62+2,62+2,62+2,63+2,65+2,65+2,65+2,67+2,69+2,69+2,69+2,67+2,75+2,77+2,77+2,77+2,75+2,75+2,77+2,77+2,77+2,75+2,"CDM,CM"
214,214766,55+2,55+2,55+2,49+2,50+2,50+2,50+2,49+2,50+2,50+2,50+2,51+2,58+2,58+2,58+2,51+2,67+2,71+2,71+2,71+2,67+2,70+2,77+2,77+2,77+2,70+2,CB
215,215223,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
216,215466,49+2,49+2,49+2,48+2,47+2,47+2,47+2,48+2,48+2,48+2,48+2,51+2,54+2,54+2,54+2,51+2,67+2,69+2,69+2,69+2,67+2,70+2,77+2,77+2,77+2,70+2,CB
217,215716,76+2,76+2,76+2,67+2,73+2,73+2,73+2,67+2,70+2,70+2,70+2,65+2,62+2,62+2,62+2,65+2,44+2,49+2,49+2,49+2,44+2,43+2,48+2,48+2,48+2,43+2,ST
218,216065,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
219,216189,71+2,71+2,71+2,73+2,73+2,73+2,73+2,73+2,72+2,72+2,72+2,74+2,72+2,72+2,72+2,74+2,77+2,74+2,74+2,74+2,77+2,77+2,74+2,74+2,74+2,77+2,RB
220,216373,64+2,64+2,64+2,69+2,67+2,67+2,67+2,69+2,68+2,68+2,68+2,71+2,70+2,70+2,70+2,71+2,77+2,74+2,74+2,74+2,77+2,77+2,74+2,74+2,74+2,77+2,"RB,LB"
221,216393,72+2,72+2,72+2,73+2,74+2,74+2,74+2,73+2,75+2,75+2,75+2,73+2,77+2,77+2,77+2,73+2,71+2,73+2,73+2,73+2,71+2,69+2,69+2,69+2,69+2,69+2,"CM,CDM"
222,216435,65+2,65+2,65+2,72+2,71+2,71+2,71+2,72+2,75+2,75+2,75+2,74+2,77+2,77+2,77+2,74+2,74+2,75+2,75+2,75+2,74+2,72+2,68+2,68+2,68+2,72+2,"CM,CDM"
223,216497,77+2,77+2,77+2,79+2,79+2,79+2,79+2,79+2,78+2,78+2,78+2,77+2,72+2,72+2,72+2,77+2,62+2,60+2,60+2,60+2,62+2,59+2,53+2,53+2,53+2,59+2,"ST,CF,LM,CAM"
224,216643,67+2,67+2,67+2,72+2,71+2,71+2,71+2,72+2,72+2,72+2,72+2,73+2,74+2,74+2,74+2,73+2,77+2,76+2,76+2,76+2,77+2,77+2,74+2,74+2,74+2,77+2,"RB,RWB"
225,199915,55+2,55+2,55+2,50+2,54+2,54+2,54+2,50+2,54+2,54+2,54+2,54+2,62+2,62+2,62+2,54+2,65+2,73+2,73+2,73+2,65+2,67+2,76+2,76+2,76+2,67+2,CB
226,200607,50+2,50+2,50+2,50+2,50+2,50+2,50+2,50+2,53+2,53+2,53+2,54+2,60+2,60+2,60+2,54+2,69+2,73+2,73+2,73+2,69+2,72+2,77+2,77+2,77+2,72+2,CB
227,200641,73+2,73+2,73+2,78+2,77+2,77+2,77+2,78+2,77+2,77+2,77+2,77+2,71+2,71+2,71+2,77+2,58+2,55+2,55+2,55+2,58+2,54+2,44+2,44+2,44+2,54+2,"LM,LW,ST"
228,200677,52+2,52+2,52+2,50+2,51+2,51+2,51+2,50+2,51+2,51+2,51+2,53+2,58+2,58+2,58+2,53+2,67+2,72+2,72+2,72+2,67+2,69+2,77+2,77+2,77+2,69+2,CB
229,201046,71+2,71+2,71+2,76+2,75+2,75+2,75+2,76+2,77+2,77+2,77+2,76+2,72+2,72+2,72+2,76+2,60+2,59+2,59+2,59+2,60+2,56+2,51+2,51+2,51+2,56+2,CAM
230,201510,74+2,74+2,74+2,76+2,76+2,76+2,76+2,76+2,76+2,76+2,76+2,77+2,76+2,76+2,76+2,77+2,77+2,76+2,76+2,76+2,77+2,77+2,75+2,75+2,75+2,77+2,"LB,LWB"
231,201922,64+2,64+2,64+2,60+2,62+2,62+2,62+2,60+2,62+2,62+2,62+2,62+2,67+2,67+2,67+2,62+2,69+2,73+2,73+2,73+2,69+2,71+2,77+2,77+2,77+2,71+2,CB
232,202429,65+2,65+2,65+2,69+2,67+2,67+2,67+2,69+2,68+2,68+2,68+2,72+2,71+2,71+2,71+2,72+2,77+2,75+2,75+2,75+2,77+2,77+2,75+2,75+2,75+2,77+2,"RWB,RB,RM"
233,202642,66+2,66+2,66+2,69+2,69+2,69+2,69+2,69+2,72+2,72+2,72+2,70+2,75+2,75+2,75+2,70+2,74+2,77+2,77+2,77+2,74+2,74+2,74+2,74+2,74+2,74+2,"CDM,CM"
234,202750,54+2,54+2,54+2,53+2,54+2,54+2,54+2,53+2,55+2,55+2,55+2,56+2,59+2,59+2,59+2,56+2,67+2,70+2,70+2,70+2,67+2,69+2,76+2,76+2,76+2,69+2,CB
235,202789,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
236,202851,77+2,77+2,77+2,78+2,79+2,79+2,79+2,78+2,77+2,77+2,77+2,76+2,67+2,67+2,67+2,76+2,56+2,52+2,52+2,52+2,56+2,53+2,45+2,45+2,45+2,53+2,"ST,RW"
237,202935,53+2,53+2,53+2,54+2,53+2,53+2,53+2,54+2,54+2,54+2,54+2,57+2,59+2,59+2,59+2,57+2,71+2,72+2,72+2,72+2,71+2,73+2,77+2,77+2,77+2,73+2,CB
238,203106,69+2,69+2,69+2,77+2,75+2,75+2,75+2,77+2,76+2,76+2,76+2,77+2,73+2,73+2,73+2,77+2,69+2,66+2,66+2,66+2,69+2,66+2,58+2,58+2,58+2,66+2,"CAM,CM,LM"
239,203299,76+2,76+2,76+2,78+2,77+2,77+2,77+2,78+2,76+2,76+2,76+2,77+2,69+2,69+2,69+2,77+2,58+2,53+2,53+2,53+2,58+2,54+2,47+2,47+2,47+2,54+2,"RM,RW"
240,203362,72+2,72+2,72+2,76+2,75+2,75+2,75+2,76+2,75+2,75+2,75+2,76+2,71+2,71+2,71+2,76+2,62+2,58+2,58+2,58+2,62+2,59+2,50+2,50+2,50+2,59+2,"LM,CAM,RM"
241,183497,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
242,190149,70+2,70+2,70+2,74+2,73+2,73+2,73+2,74+2,72+2,72+2,72+2,76+2,73+2,73+2,73+2,76+2,78+2,74+2,74+2,74+2,78+2,77+2,72+2,72+2,72+2,77+2,"RB,RW"
243,193476,71+2,71+2,71+2,76+2,75+2,75+2,75+2,76+2,76+2,76+2,76+2,76+2,72+2,72+2,72+2,76+2,62+2,59+2,59+2,59+2,62+2,58+2,48+2,48+2,48+2,58+2,CAM
244,150724,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
245,159171,72+2,72+2,72+2,77+2,76+2,76+2,76+2,77+2,78+2,78+2,78+2,76+2,73+2,73+2,73+2,76+2,58+2,56+2,56+2,56+2,58+2,53+2,44+2,44+2,44+2,53+2,"RM,CAM,LM"
246,186302,71+2,71+2,71+2,77+2,75+2,75+2,75+2,77+2,77+2,77+2,77+2,77+2,74+2,74+2,74+2,77+2,66+2,62+2,62+2,62+2,66+2,62+2,53+2,53+2,53+2,62+2,RM
247,192445,76+2,76+2,76+2,67+2,72+2,72+2,72+2,67+2,67+2,67+2,67+2,64+2,60+2,60+2,60+2,64+2,49+2,52+2,52+2,52+2,49+2,49+2,53+2,53+2,53+2,49+2,ST
248,199354,76+2,76+2,76+2,76+2,77+2,77+2,77+2,76+2,76+2,76+2,76+2,76+2,71+2,71+2,71+2,76+2,57+2,55+2,55+2,55+2,57+2,53+2,47+2,47+2,47+2,53+2,"ST,RM"
249,158133,75+2,75+2,75+2,76+2,76+2,76+2,76+2,76+2,75+2,75+2,75+2,76+2,71+2,71+2,71+2,76+2,60+2,58+2,58+2,58+2,60+2,57+2,52+2,52+2,52+2,57+2,"RM,ST"
250,172723,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
251,153260,58+2,58+2,58+2,58+2,59+2,59+2,59+2,58+2,62+2,62+2,62+2,60+2,68+2,68+2,68+2,60+2,67+2,74+2,74+2,74+2,67+2,68+2,76+2,76+2,76+2,68+2,CB
252,189606,63+2,63+2,63+2,64+2,65+2,65+2,65+2,64+2,66+2,66+2,66+2,68+2,71+2,71+2,71+2,68+2,75+2,77+2,77+2,77+2,75+2,75+2,77+2,77+2,77+2,75+2,CDM
253,178085,71+2,71+2,71+2,73+2,74+2,74+2,74+2,73+2,75+2,75+2,75+2,73+2,77+2,77+2,77+2,73+2,70+2,73+2,73+2,73+2,70+2,68+2,68+2,68+2,68+2,68+2,"CM,LM,RM"
254,173474,72+2,72+2,72+2,76+2,75+2,75+2,75+2,76+2,76+2,76+2,76+2,77+2,77+2,77+2,77+2,77+2,75+2,74+2,74+2,74+2,75+2,73+2,68+2,68+2,68+2,73+2,"CM,CAM,LM"
255,172962,74+2,74+2,74+2,76+2,76+2,76+2,76+2,76+2,76+2,76+2,76+2,77+2,75+2,75+2,75+2,77+2,76+2,74+2,74+2,74+2,76+2,75+2,72+2,72+2,72+2,75+2,"RW,RWB"
256,158626,70+3,70+3,70+3,71+3,71+3,71+3,71+3,71+3,71+3,71+3,71+3,72+3,72+3,72+3,72+3,72+3,76+3,75+3,75+3,75+3,76+3,76+3,76+3,76+3,76+3,76+3,RB
257,219145,49+2,49+2,49+2,44+2,45+2,45+2,45+2,44+2,45+2,45+2,45+2,47+2,52+2,52+2,52+2,47+2,62+2,67+2,67+2,67+2,62+2,65+2,75+2,75+2,75+2,65+2,CB
258,146952,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
